What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Benjamin,1 week - 6 months,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Age,Individual personality/behavior,Trainability,Breed,Appearance,Yes,True,,,True,,,,,,,,,9e471c89b2e8b8f206e93fdb8d755609,,, ,2/14/2020 2:39:23,k32znyqywl168g215k32znylukq3dw3c
Daisy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Age,Individual personality/behavior,Trainability,Appearance,Size,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Appearance,Breed,Shelter/Rescue,9e471c89b2e8b8f206e93fdb8d755609,We have submissions for:,,", ",2/14/2020 2:42:35,ag99trje5bzrpy8ag92j13ukt9xmmww2
Shadow,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Appearance,Size,Age,Individual personality/behavior,Trainability,Breed,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Trainability,Appearance,Size,Breed,Age,Shelter/Rescue,719e80205b8da992252cb1511133c92d,,, ,2/14/2020 2:48:43,qx3f2iej4hl61xqx3qxz8xgkrmvcm969
Stormy,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Age,Appearance,Trainability,Size,Yes,True,,,True,,,,,,,,,87556356b7bad6d3c736df48109f889b,,, ,2/14/2020 2:55:29,9bscjwi0dw91pq4331a9bscjwi0wea1t
Buckwheat,6+ months - 6 years,Social interaction,Shelter/Rescue,Compatability with other pets in the home,Size,Individual personality/behavior,Appearance,Age,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Breeder,7c08e2fadfe9659edfd79e3617fd9ead,,, ,2/14/2020 2:55:58,aah2znf07vvirg6b466aah2z9x6vxnia
Comet,1 week - 6 months,Companion for another dog or pet,Family member or friend,Compatability with other pets in the home,Individual personality/behavior,Breed,Appearance,Age,Size,Yes,False,6+ years,Passed,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Appearance,Breed,Shelter/Rescue,87556356b7bad6d3c736df48109f889b,We have submissions for:,,", ",2/14/2020 2:58:15,3hbujiqfu2107q3hb6bokyu7kdfyzb1b
Jack,1 week - 6 months,Companionship and affection,Breeder,Breed,Appearance,Individual personality/behavior,Age,Trainability,Size,Yes,True,,,True,,,,,,,,,57a287bfa91256c9875e0a6d2ea22b00,,, ,2/14/2020 3:01:32,iimx2wfg35ud3ieiimx2w2r0mxlygnrl
Charley,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Appearance,Age,Individual personality/behavior,Breed,Size,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Age,Breed,Size,Shelter/Rescue,57a287bfa91256c9875e0a6d2ea22b00,We have submissions for:,,", ",2/14/2020 3:04:21,vsjde60qethhx77yh3vsjde6ykp810sw
Jazz,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Breed,Individual personality/behavior,Compatability with other pets in the home,Age,Trainability,Size,"Partially, I accepted the dog and made it work",False,6+ months - 6 years,Passed,True,,,,,,,,,782c65e15ac7a3ed2207b13d06f1401e,,, ,2/14/2020 3:05:38,gm7nh7wvi1m4yawfww49cgm7nh7wvpw1
Sky,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Breed,Age,Individual personality/behavior,Trainability,Size,Appearance,Yes,False,6+ months - 6 years,Passed,False,True,Breed,Individual personality/behavior,Age,Trainability,Appearance,Size,Shelter/Rescue,782c65e15ac7a3ed2207b13d06f1401e,We have submissions for:,,", ",2/14/2020 3:08:04,fqi1mfj2ib19a5r8upw3fqi1n423ohwg
Lucky,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Age,Trainability,Appearance,Size,Yes,True,,,True,,,,,,,,,3f3467f3ef7f5c9cd017c471bde5999d,,, ,2/14/2020 3:12:49,5v7qqfvqm8l1v5v44748b0m9e1lpzs44
Riley,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Breed,Age,Trainability,Appearance,Yes,True,,,False,True,Individual personality/behavior,Breed,Age,Appearance,Size,Trainability,Shelter/Rescue,3f3467f3ef7f5c9cd017c471bde5999d,We have submissions for:,,", ",2/14/2020 3:15:09,ze3xk5iac033fdboaep2yrzze3xk54pm
Whamwham,6+ months - 6 years,Came with boyfriend ,Family member or friend,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Breed,Yes,True,,,True,,,,,,,,,01f155269919ba42302c9ce859842872,,, ,2/14/2020 3:21:12,bohm4qbk0gnbohpi6i62nud4dkfy3apo
Jasmine,1 week - 6 months,Rescued her,Shelter/Rescue,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Age,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Trainability,Breed,Shelter/Rescue,01f155269919ba42302c9ce859842872,We have submissions for:,,", ",2/14/2020 3:23:16,mdvy4jrfeip3v6aiwm6z659mdvy4jr2w
Halligan,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Yes,True,,,True,,,,,,,,,d97e7719946a00ce0bcd2dfa9eaebd73,,, ,2/14/2020 3:29:50,or2xd5ihemstlf6vjbor2xdqp4id9e9q
Piper,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Age,Trainability,Size,Appearance,Yes,True,,,True,,,,,,,,,d97e7719946a00ce0bcd2dfa9eaebd73,We have submissions for:,,,2/14/2020 3:31:12,r1cy3aycp32hxvvpr1cy3ay8jptzqzn8
Cricket,1 week - 6 months,Medical foster for local shelter,Shelter/Rescue,Size,Individual personality/behavior,Age,Appearance,Breed,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Size,Age,Shelter/Rescue,d97e7719946a00ce0bcd2dfa9eaebd73,We have submissions for:,__________Piper,", ",2/14/2020 3:33:41,so1iquhbx2pqbuye1i3so1iquaz48cmv
Delta,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Size,Appearance,Age,Breed,Yes,True,,,True,,,,,,,,,d6888b77335e67e4adc3848a13006899,,, ,2/14/2020 3:35:28,s42agbir751vv5m82l2s42a6jj0utns9
Shelby,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Age,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Appearance,Shelter/Rescue,d6888b77335e67e4adc3848a13006899,We have submissions for:,,", ",2/14/2020 3:37:30,ww72f23prg5obpw7uww72f2dwegpv5v0
QED,6+ months - 6 years,Therapy & K9 Circus performer for aged care facilities and kindergartens,Breeder,Breed,Individual personality/behavior,Trainability,Age,Size,Trainability,Yes,True,,,True,,,,,,,,,061ca92ab9232ee80aa89a221f72ee73,,, ,2/14/2020 3:49:53,knp7vff5ulvzqor23bknrgu5o46ugn7w
Kolsch,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Trainability,Size,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Size,Appearance,Shelter/Rescue,c9aea018ada238093fbd2f46d3a5dac9,,, ,2/14/2020 3:51:11,lgw0yoxvjpzoiw8plgw05atvnlr87ehg
Rusty,6+ months - 6 years,Social interaction,Breeder,Breed,Individual personality/behavior,Age,Trainability,Size,Trainability,Yes,True,,,False,True,Breed,Individual personality/behavior,Size,Trainability,Trainability,Appearance,Breeder,061ca92ab9232ee80aa89a221f72ee73,We have submissions for:,,", ",2/14/2020 3:55:53,dsxor8qh06v6oecc9w5cjt55dsxor8qx
Penny,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Size,Age,Breed,Appearance,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,6a51cbdb9cbdea498dbed6aa77f96ad2,,, ,2/14/2020 4:20:12,sq3xxmmt5fxh0plc3gsq3xxmwhe5xfq8
Jay,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Size,Age,Breed,Appearance,"Partially, I grew to love the dog over time",False,6+ years,Passed,False,True,Individual personality/behavior,Trainability,Size,Age,Appearance,Breed,Shelter/Rescue,6a51cbdb9cbdea498dbed6aa77f96ad2,We have submissions for:,,", ",2/14/2020 4:22:04,4e3ern8cjwxbl1qx4e3er68c4xmo5i1c
Libby,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Age,Breed,Trainability,Yes,True,,,True,,,,,,,,,36d7578a0331b243f20b364797b1db2c,,, ,2/14/2020 4:45:55,ixl9ar23i7r5lrptcsipmnixl9ar23zs
Link,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Appearance,Size,Trainability,Individual personality/behavior,Yes,True,,,False,True,Breed,Compatability with other pets in the home,Individual personality/behavior,Appearance,Trainability,Age,Shelter/Rescue,36d7578a0331b243f20b364797b1db2c,We have submissions for:,,", ",2/14/2020 4:49:50,xtn7jfh7huaojuxywxtn7gc10q36b536
Abigail,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Age,Appearance,Breed,Trainability,Yes,True,,,True,,,,,,,,,a06b6dd637aae15b04b44fad7dd9e6f3,,, ,2/14/2020 4:51:40,6znzsq91s350h808z32wd6znzsqhvnok
Roxie,1 week - 6 months,Companionship and affection,Family member or friend,Breed,Individual personality/behavior,Size,Appearance,Age,Trainability,Yes,True,,,False,True,Individual personality/behavior,Size,Breed,Age,Trainability,Size,Shelter/Rescue,18c2e0e6f56add81774716f4647481c2,,, ,2/14/2020 4:55:56,jqhrpdx7fle53im1lojqhrpd92wha319
Cora,1 week - 6 months,She was not likely to be adopted otherwise. I'm a trainer at the shelter she was at and saw the potential she had and I knew I could safely manage her and work with her.,Shelter/Rescue,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Age,Size,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Breed,Shelter/Rescue,a06b6dd637aae15b04b44fad7dd9e6f3,We have submissions for:,,", ",2/14/2020 4:55:15,zq3nfz8o3shv70qlzq3nfz8smewbo2sv
Luna,1 week - 6 months,As a thank you for the experience she went through in vet tech school so I could learn,Shelter/Rescue,Individual personality/behavior,Appearance,Compatability with other pets in the home,Trainability,Size,Age,Yes,True,,,True,,,,,,,,,d9a14b189252cf960387bbcb81bb3cf4,,, ,2/14/2020 5:00:53,dwno0radgfsvrig1nldwno0rrr1ycf81
Phoenix,1 week - 6 months,Working or sporting,Breeder,Breed,Appearance,Trainability,Individual personality/behavior,Size,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,ec14dbe965112302d8c456a770df4d54,,, ,2/14/2020 4:56:15,dlorko4vofaysh055dlorkxaoqdnjh9g
Arrow,Less than 1 week,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Compatability with other pets in the home,Trainability,Size,Yes,False,6+ years,Euthanized,False,True,Breed,Compatability with other pets in the home,Appearance,Individual personality/behavior,Size,Trainability,Breeder,ec14dbe965112302d8c456a770df4d54,We have submissions for:,,", ",2/14/2020 4:59:03,ya10s3gu0nmuco7m30ya10s3gkc4ucke
Muskoka,1 week - 6 months,Companionship and affection,Breeder,Breed,Trainability,Age,Appearance,Individual personality/behavior,Size,Yes,False,6+ years,Euthanized,False,True,Breed,Age,Trainability,Compatability with other pets in the home,Individual personality/behavior,Appearance,Breeder,d9a14b189252cf960387bbcb81bb3cf4,We have submissions for:,,", ",2/14/2020 5:05:11,bal49jm8fybnfcjkqbal49jzewdy4pnk
Basil,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Size,Breed,Age,Appearance,Yes,True,,,True,,,,,,,,,89763a5d76c7348f9b02848d57a1cf5f,,, ,2/14/2020 5:03:23,6z8q08n855e846rhlly7ehyxmr6pjn8r
Ginny,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Size,Age,Yes,True,,,False,True,Individual personality/behavior,Trainability,Breed,Compatability with other pets in the home,Size,Age,Breeder,89763a5d76c7348f9b02848d57a1cf5f,We have submissions for:,,", ",2/14/2020 5:06:04,9znahho8y8ax9035v8c9znahhoupg7gh
Reginald,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Size,Age,Appearance,Breed,Yes,True,,,True,,,,,,,,,ca6e807f53c82fd8c05d9591fd4ad5a8,,, ,2/14/2020 5:08:26,9iff5l570cq944potvjid9iff5me29ip
Gypsy,1 week - 6 months,Companion for another dog or pet,Found roaming,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Age,Breed,"Partially, I accepted the dog and made it work",False,6+ months - 6 years,Rehomed,False,True,Trainability,Compatability with other pets in the home,Age,Individual personality/behavior,Breed,Size,Shelter/Rescue,ca6e807f53c82fd8c05d9591fd4ad5a8,We have submissions for:,,", ",2/14/2020 5:11:13,v8dprl648gnmqyuips2v8dpr76l900mh
Oliver,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Compatability with other pets in the home,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Shelter/Rescue,87826fd8c93c96d59bf4d20fc44a23d3,,, ,2/14/2020 5:52:23,vxnt2i1iy8h27v0hvhjo5pvxnt2i1akh
Buddy,Less than 1 week,He needed a home,Found roaming,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Appearance,Breed,"Partially, I accepted the dog and made it work",True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Breed,Trainability,Shelter/Rescue,40e9d65fee591e4f3874df857f020b29,,, ,2/14/2020 5:21:59,tkb6vq84ghsojh9gwltk0lk8h5k0vthy
Lexi,1 week - 6 months,Companionship and affection,Found roaming,Individual personality/behavior,Age,Trainability,Breed,Appearance,Size,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,a52ca11f9f1c9e87ae477699ca4c65e3,,, ,2/14/2020 5:38:38,com2tmbzq1q7v0b887l7com2tyuqcmhe
Jesse,6+ months - 6 years,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Trainability,Appearance,Breed,Size,Age,Yes,False,6+ months - 6 years,Passed,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,a52ca11f9f1c9e87ae477699ca4c65e3,We have submissions for:,,", ",2/14/2020 5:40:36,k6knjjm68j0dnmzxx8ek6knn7w5v7awd
Trill,6+ months - 6 years,"Exercise, adventure partner",Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Size,Age,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,c007868b803628986d3216901ed00797,,, ,2/14/2020 6:13:36,qyn5xaby78hixcizytroqyn5xabjuibs
Frosty,Less than 1 week,Frosty needed a home and my home was available ,Family member or friend,Individual personality/behavior,Size,Age,Trainability,Appearance,Breed,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Appearance,Shelter/Rescue,54d27734e742d0c2b328d7e9d7489d96,,, ,2/14/2020 6:19:21,uz95qvuog4m5yr2c7uz9rqx8a7dvxvoj
Be’la,6+ months - 6 years,"Exercise, adventure partner",Breeder,Breed,Size,Individual personality/behavior,Trainability,Appearance,Age,Yes,False,6+ years,Passed,False,True,Size,Age,Individual personality/behavior,Trainability,Appearance,Breed,Family member or friend,c007868b803628986d3216901ed00797,We have submissions for:,,", ",2/14/2020 6:16:58,wfnersl0m1ueso9j864wfnersl8ahqt9
Hector,6+ years,Social interaction,Shelter/Rescue,Appearance,Compatability with other pets in the home,Individual personality/behavior,Age,Trainability,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Age,Breed,Shelter/Rescue,4d27dfc84687eb80b941c5c14d9ef99c,,, ,2/14/2020 6:31:16,nhk16nzc0jl7g93oknhk16ocluhdwbti
Penny,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Age,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Size,Appearance,Age,Trainability,Shelter/Rescue,967acec780cc259e7bebf79fa912ab91,,, ,2/14/2020 6:48:08,w80g7qi4llhiicfsthw80g782o968rnr
Dusty,1 week - 6 months,Companion for another dog or pet,Breeder,Breed,Size,Appearance,Age,Trainability,Individual personality/behavior,Yes,True,,,True,,,,,,,,,9636fa1b66ffe7cd47849befee49645c,,, ,2/14/2020 7:25:40,g8kihol388g06mez0ag8kiho5wfkrxop
Sunshine,Less than 1 week,Companion for another dog or pet,Found roaming,Compatability with other pets in the home,Size,Individual personality/behavior,Trainability,Appearance,Age,Yes,True,,,False,True,Size,Age,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Shelter/Rescue,9636fa1b66ffe7cd47849befee49645c,We have submissions for:,,", ",2/14/2020 7:29:47,pawsn55h1t1ygpawsnimxignzto4874u
Uma,1 week - 6 months,Breeding / showing,Breeder,Compatability with other pets in the home,Breed,Appearance,Individual personality/behavior,Size,Trainability,Yes,True,,,False,True,Breed,Appearance,Size,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breeder,8feb62e35dabe13dd1ff831f85c6476b,,, ,2/14/2020 7:31:48,5xn48gerecar8mgw5xn48olbttsx8xyw
Bonnie,1 week - 6 months,Working or sporting,Shelter/Rescue,Individual personality/behavior,Trainability,Age,Breed,Size,Appearance,Yes,True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Breed,Size,Shelter/Rescue,acf0a9b6056a36e9316ab9cb78db8ec5,,, ,2/14/2020 7:46:49,f6011ec3i9upsjkravcf6011rek2cqjb
Patch,1 week - 6 months,Companionship and affection,Family member or friend,Breed,Appearance,Size,Age,Individual personality/behavior,Trainability,Yes,True,,,False,True,Breed,Size,Appearance,Individual personality/behavior,Age,Trainability,Shelter/Rescue,37a03db479716583b96f20974cb15f88,,, ,2/14/2020 8:20:48,5aaxtyrs67m3trlq5aarlln02tq39eou
Marcus,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Age,Individual personality/behavior,Breed,Size,Trainability,Yes,True,,,True,,,,,,,,,70ccfd619b793fea6f8c1d1aac7c8249,,, ,2/14/2020 8:26:19,1i6vsx0ulv73ebc4d1i6vsv8ellf6sb2
Lauren,6+ months - 6 years,Companion for another dog or pet,Shelter/Rescue,Age,Breed,Size,Appearance,Individual personality/behavior,Compatability with other pets in the home,Yes,True,,,False,True,Size,Age,Individual personality/behavior,Trainability,Appearance,Breed,Shelter/Rescue,70ccfd619b793fea6f8c1d1aac7c8249,We have submissions for:,,", ",2/14/2020 8:28:50,fg0oax7gncbu4b8djfg0oadgjvikcsuv
